,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,4.0,4.0,649,0.16242622189805653,42635
0.0,4.0,4.0,649,0.16140062638445754,40652
0.0,4.0,4.0,649,0.1336741119630276,28296
0.0,4.0,4.0,649,0.13366888068275928,92287
0.0,4.0,4.0,649,0.13066974053586375,31551
1.0,4.0,4.0,5967,0.14635233246713755,42635
1.0,4.0,4.0,5967,0.13861036162457982,42456
1.0,4.0,4.0,5967,0.12407177153653193,1162
1.0,4.0,4.0,5967,0.11924705916615752,51992
1.0,4.0,4.0,5967,0.11870654589903372,77078
2.0,4.0,4.0,8069,0.11178099644103015,29333
2.0,4.0,4.0,8069,0.11063013498720285,84030
2.0,4.0,4.0,8069,0.10575485357721781,93934
2.0,4.0,4.0,8069,0.09694946146501263,161827
2.0,4.0,4.0,8069,0.09366339186894271,11916
3.0,4.0,4.0,83857,0.1177107204689449,42231
3.0,4.0,4.0,83857,0.1062475746976245,64628
3.0,4.0,4.0,83857,0.10499720966605873,47397
3.0,4.0,4.0,83857,0.10499719809619022,4683
3.0,4.0,4.0,83857,0.10300053124112707,42586
4.0,4.0,4.0,753,0.32569886417416777,43256
4.0,4.0,4.0,753,0.24722233426634493,43095
4.0,4.0,4.0,753,0.2461530339351661,38731
4.0,4.0,4.0,753,0.17764919712689045,29491
4.0,4.0,4.0,753,0.17314254191377115,132166
5.0,4.0,4.0,52633,0.21704733372227905,55685
5.0,4.0,4.0,52633,0.17175931841581332,38606
5.0,4.0,4.0,52633,0.1660081743167147,10889
5.0,4.0,4.0,52633,0.1575630708684297,11020
5.0,4.0,4.0,52633,0.15668314322673516,1725
6.0,4.0,4.0,41225,0.1256294875112322,103199
6.0,4.0,4.0,41225,0.119756059616947,118497
6.0,4.0,4.0,41225,0.11740872965181053,5781
6.0,4.0,4.0,41225,0.11511236602118474,42839
6.0,4.0,4.0,41225,0.11491720093807911,75748
7.0,4.0,4.0,35206,0.12799002027321302,239
7.0,4.0,4.0,35206,0.11865997906419876,204737
7.0,4.0,4.0,35206,0.1163737883196248,84278
7.0,4.0,4.0,35206,0.11282719829730617,86508
7.0,4.0,4.0,35206,0.10617034178211288,68635
8.0,4.0,4.0,116690,0.1459458218170568,44132
8.0,4.0,4.0,116690,0.1403790794486933,42635
8.0,4.0,4.0,116690,0.13573703790476252,29333
8.0,4.0,4.0,116690,0.1303122722612053,77078
8.0,4.0,4.0,116690,0.12760308603202247,49725
9.0,4.0,4.0,10232,0.19737868213932017,92751
9.0,4.0,4.0,10232,0.18942769308385357,93934
9.0,4.0,4.0,10232,0.17960822608209728,47397
9.0,4.0,4.0,10232,0.16664317142503235,4191
9.0,4.0,4.0,10232,0.16609805616189038,42635
10.0,4.0,4.0,239,0.21377231066621308,39287
10.0,4.0,4.0,239,0.21169753353626242,55685
10.0,4.0,4.0,239,0.17597362393791405,84473
10.0,4.0,4.0,239,0.17517889919420787,55457
10.0,4.0,4.0,239,0.16785568598002704,61683
11.0,4.0,4.0,1712,0.1448941765366028,159414
11.0,4.0,4.0,1712,0.14389973870642123,11897
11.0,4.0,4.0,1712,0.14214522676301258,22660
11.0,4.0,4.0,1712,0.12971254275162827,105583
11.0,4.0,4.0,1712,0.12805851563465212,14837
12.0,4.0,4.0,261,0.19072677354312037,148371
12.0,4.0,4.0,261,0.1860360857369836,86168
12.0,4.0,4.0,261,0.17576767824960257,1396
12.0,4.0,4.0,261,0.15976382192411415,42691
12.0,4.0,4.0,261,0.15514913044353976,753
13.0,4.0,4.0,22660,0.18874601914696454,75748
13.0,4.0,4.0,22660,0.14263704248585718,753
13.0,4.0,4.0,22660,0.14214522676301258,1712
13.0,4.0,4.0,22660,0.1401256877761651,85827
13.0,4.0,4.0,22660,0.1371229916178967,86168
14.0,4.0,4.0,31102,0.15259329341892008,33665
14.0,4.0,4.0,31102,0.13937621120649946,27361
14.0,4.0,4.0,31102,0.13429590974060093,64811
14.0,4.0,4.0,31102,0.1212605159091168,92287
14.0,4.0,4.0,31102,0.11768215329754177,38427
15.0,4.0,4.0,20723,0.13491073957908375,77294
15.0,4.0,4.0,20723,0.12439846014186383,86236
15.0,4.0,4.0,20723,0.12238785049289276,8703
15.0,4.0,4.0,20723,0.11722652765605222,70422
15.0,4.0,4.0,20723,0.10767597735671014,54008
16.0,4.0,4.0,433,0.15372170266444543,49876
16.0,4.0,4.0,433,0.13508402035228886,13397
16.0,4.0,4.0,433,0.133158519765258,165644
16.0,4.0,4.0,433,0.13130011045571824,39893
16.0,4.0,4.0,433,0.12316846305337903,43039
17.0,4.0,4.0,12335,0.14020299965274385,37720
17.0,4.0,4.0,12335,0.1362479169269388,27361
17.0,4.0,4.0,12335,0.13381876415373536,16520
17.0,4.0,4.0,12335,0.12932355791069217,84473
17.0,4.0,4.0,12335,0.12849712878359953,1863
18.0,4.0,4.0,15121,0.2689439114153071,44459
18.0,4.0,4.0,15121,0.2575504747056126,65099
18.0,4.0,4.0,15121,0.2099491135766832,16372
18.0,4.0,4.0,15121,0.18044373535663707,25105
18.0,4.0,4.0,15121,0.15173449153988414,243984
19.0,4.0,4.0,16372,0.2099491135766832,15121
19.0,4.0,4.0,16372,0.19442151816400086,13549
19.0,4.0,4.0,16372,0.18751110651950137,39925
19.0,4.0,4.0,16372,0.17179463321208666,105833
19.0,4.0,4.0,16372,0.13717670056424044,111037
20.0,4.0,4.0,790,0.11529695246611485,166888
20.0,4.0,4.0,790,0.10642345380498808,31102
20.0,4.0,4.0,790,0.09865706770028006,8420
20.0,4.0,4.0,790,0.09455019293094315,54008
20.0,4.0,4.0,790,0.09345152645545356,149026
21.0,4.0,4.0,10765,0.165589307202725,179868
21.0,4.0,4.0,10765,0.12521484627308915,72615
21.0,4.0,4.0,10765,0.11448740808980667,42501
21.0,4.0,4.0,10765,0.114118688068157,103613
21.0,4.0,4.0,10765,0.11296389148934673,92287
22.0,4.0,4.0,343,0.21152023147688961,71520
22.0,4.0,4.0,343,0.19957500295585273,133919
22.0,4.0,4.0,343,0.19561015327495554,55685
22.0,4.0,4.0,343,0.19247426024975442,27361
22.0,4.0,4.0,343,0.18701161497828225,114354
23.0,4.0,4.0,571,0.08922454301199902,25105
23.0,4.0,4.0,571,0.08693289775350604,42634
23.0,4.0,4.0,571,0.08401884576858037,103205
23.0,4.0,4.0,571,0.07976842160539131,233383
23.0,4.0,4.0,571,0.07935614486004765,40074
24.0,4.0,4.0,13549,0.19442151816400086,16372
24.0,4.0,4.0,13549,0.1489502695986545,56379
