,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,4.0,2.0,103,0.14977294564173088,3116
0.0,4.0,2.0,103,0.13422759611521462,166798
0.0,4.0,2.0,103,0.12488318272057734,4578
0.0,4.0,2.0,103,0.11989543132714997,167556
0.0,4.0,2.0,103,0.11825561893720976,121636
1.0,4.0,2.0,315,0.1952387387825789,20813
1.0,4.0,2.0,315,0.1906989165161763,110029
1.0,4.0,2.0,315,0.17509216864242594,9627
1.0,4.0,2.0,315,0.1643219168108524,47962
1.0,4.0,2.0,315,0.16335760239051184,87335
2.0,4.0,2.0,5879,0.15746457209016185,104935
2.0,4.0,2.0,5879,0.1264828640985215,22527
2.0,4.0,2.0,5879,0.12081556572663209,64735
2.0,4.0,2.0,5879,0.11982620690736082,37112
2.0,4.0,2.0,5879,0.11816739332170151,154718
3.0,4.0,2.0,576,0.13812349168927554,42759
3.0,4.0,2.0,576,0.12534734752711826,41857
3.0,4.0,2.0,576,0.11859562691831066,44697
3.0,4.0,2.0,576,0.11791446891807356,43141
3.0,4.0,2.0,576,0.11411146021602005,107625
4.0,4.0,2.0,51242,0.18585932223801604,18209
4.0,4.0,2.0,51242,0.1762745459982357,27409
4.0,4.0,2.0,51242,0.15490577170022196,269
4.0,4.0,2.0,51242,0.1505461855660548,30298
4.0,4.0,2.0,51242,0.14576446982972607,68882
5.0,4.0,2.0,10112,0.2249072961051125,121401
5.0,4.0,2.0,10112,0.14389580575514646,27832
5.0,4.0,2.0,10112,0.13639428097045367,53780
5.0,4.0,2.0,10112,0.12034545079718642,92804
5.0,4.0,2.0,10112,0.1182235476597974,19413
6.0,4.0,2.0,10363,0.2676034142140413,11222
6.0,4.0,2.0,10363,0.18821218459488767,5769
6.0,4.0,2.0,10363,0.15764269486274,40141
6.0,4.0,2.0,10363,0.15459686824585672,20330
6.0,4.0,2.0,10363,0.13509917201774693,42995
7.0,4.0,2.0,935,0.19320368428089832,113629
7.0,4.0,2.0,935,0.16989144431599204,52810
7.0,4.0,2.0,935,0.15525599058557454,4949
7.0,4.0,2.0,935,0.13919853170387936,218296
7.0,4.0,2.0,935,0.13462665217119474,53045
8.0,4.0,2.0,44495,0.2722823821424346,42693
8.0,4.0,2.0,44495,0.22475257621588468,11167
8.0,4.0,2.0,44495,0.21252309952233758,102488
8.0,4.0,2.0,44495,0.2035851919445183,70345
8.0,4.0,2.0,44495,0.15139118239516058,5767
9.0,4.0,2.0,4837,0.1629888620332815,20187
9.0,4.0,2.0,4837,0.14945481574909078,11912
9.0,4.0,2.0,4837,0.1305219675096974,48564
9.0,4.0,2.0,4837,0.12644452327249148,92927
9.0,4.0,2.0,4837,0.1233425202285142,10102
10.0,4.0,2.0,31417,0.17680583872230193,40139
10.0,4.0,2.0,31417,0.15108960815290443,104973
10.0,4.0,2.0,31417,0.15066549018771672,122787
10.0,4.0,2.0,31417,0.13959326007283204,88390
10.0,4.0,2.0,31417,0.13841139040483358,29452
11.0,4.0,2.0,13320,0.21090627401975673,18196
11.0,4.0,2.0,13320,0.20567435683988428,233204
11.0,4.0,2.0,13320,0.153632102237934,66953
11.0,4.0,2.0,13320,0.14683230105185163,31913
11.0,4.0,2.0,13320,0.14041682453845536,157683
12.0,4.0,2.0,164,0.21134516401982434,111031
12.0,4.0,2.0,164,0.13613673180811534,105465
12.0,4.0,2.0,164,0.13145155041189824,2363
12.0,4.0,2.0,164,0.12927253753608334,203888
12.0,4.0,2.0,164,0.12647041481366483,6883
13.0,4.0,2.0,426,0.18158985733166144,14584
13.0,4.0,2.0,426,0.16750988541565529,72903
13.0,4.0,2.0,426,0.1576449948651303,110823
13.0,4.0,2.0,426,0.14292671708841442,1847
13.0,4.0,2.0,426,0.13775367504616293,56599
14.0,4.0,2.0,213,0.20332200464234257,22527
14.0,4.0,2.0,213,0.1547474265449123,114609
14.0,4.0,2.0,213,0.1371606416154514,82098
14.0,4.0,2.0,213,0.132255761130411,62675
14.0,4.0,2.0,213,0.13175350930045723,179519
15.0,4.0,2.0,284,0.1970222475923306,45940
15.0,4.0,2.0,284,0.17433753882924818,28000
15.0,4.0,2.0,284,0.1718194208047745,46010
15.0,4.0,2.0,284,0.15415553148891661,19413
15.0,4.0,2.0,284,0.15181298947781113,32140
16.0,4.0,2.0,4808,0.21191211059515697,207655
16.0,4.0,2.0,4808,0.20796081210338052,101422
16.0,4.0,2.0,4808,0.20062932586708082,49096
16.0,4.0,2.0,4808,0.1982438194558031,62851
16.0,4.0,2.0,4808,0.18443424411366896,125464
17.0,4.0,2.0,11113,0.10989929881746897,42258
17.0,4.0,2.0,11113,0.10546364921587595,114083
17.0,4.0,2.0,11113,0.1026145841141006,42244
17.0,4.0,2.0,11113,0.09856450704769298,39309
17.0,4.0,2.0,11113,0.09743567166104061,55792
18.0,4.0,2.0,8356,0.18608727844490347,65107
18.0,4.0,2.0,8356,0.18485777343347923,13333
18.0,4.0,2.0,8356,0.17710931053177853,16633
18.0,4.0,2.0,8356,0.17105722423721959,27924
18.0,4.0,2.0,8356,0.1637285504850661,104810
19.0,4.0,2.0,381,0.13775086521098379,61462
19.0,4.0,2.0,381,0.12412674742962083,335
19.0,4.0,2.0,381,0.12376366744539592,40687
19.0,4.0,2.0,381,0.12305581709032458,145162
19.0,4.0,2.0,381,0.12305284240631277,6949
20.0,4.0,2.0,18299,0.10255675684359603,44461
20.0,4.0,2.0,18299,0.09305956577955765,34783
20.0,4.0,2.0,18299,0.08954498967041367,1888
20.0,4.0,2.0,18299,0.08757995135770198,42160
20.0,4.0,2.0,18299,0.08638396581736547,75130
21.0,4.0,2.0,17281,0.1277241497276576,88375
21.0,4.0,2.0,17281,0.11098432266895988,11575
21.0,4.0,2.0,17281,0.1041161533885595,52841
21.0,4.0,2.0,17281,0.10169090109735394,64042
21.0,4.0,2.0,17281,0.10115143710379249,20975
22.0,4.0,2.0,64382,0.28106874668470755,244182
22.0,4.0,2.0,64382,0.23886873319699098,8767
22.0,4.0,2.0,64382,0.21507245433115055,45873
22.0,4.0,2.0,64382,0.21334005673868292,30901
22.0,4.0,2.0,64382,0.16690894643311247,238124
23.0,4.0,2.0,220,0.16220339918449192,69716
23.0,4.0,2.0,220,0.15836095534057054,50849
23.0,4.0,2.0,220,0.15558923342941036,22718
23.0,4.0,2.0,220,0.15555601401145283,42525
23.0,4.0,2.0,220,0.15370333615380127,84050
24.0,4.0,2.0,2897,0.21983548036656425,47536
24.0,4.0,2.0,2897,0.1564970124781366,48775
24.0,4.0,2.0,2897,0.152759195133521,46592
24.0,4.0,2.0,2897,0.1513652565749361,31534
24.0,4.0,2.0,2897,0.14908775680093933,8070
25.0,4.0,2.0,39940,0.16969365392579883,5646
