,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,3.0,1.0,62677,0.1603311448895323,300690
0.0,3.0,1.0,62677,0.15560079787063946,12837
0.0,3.0,1.0,62677,0.15116017226500603,274902
0.0,3.0,1.0,62677,0.14541197048001736,444902
0.0,3.0,1.0,62677,0.11942896890880775,311291
1.0,3.0,1.0,220976,0.26462333235610763,57830
1.0,3.0,1.0,220976,0.23360459231212904,32893
1.0,3.0,1.0,220976,0.17067681259575032,304410
1.0,3.0,1.0,220976,0.1705000778658876,330298
1.0,3.0,1.0,220976,0.13400595951813216,8281
2.0,3.0,1.0,16723,0.247985800050853,105531
2.0,3.0,1.0,16723,0.17196875351682056,428687
2.0,3.0,1.0,16723,0.17020100908294908,21775
2.0,3.0,1.0,16723,0.16492253090088393,243684
2.0,3.0,1.0,16723,0.15940566858951002,29406
3.0,3.0,1.0,2018,0.17184933217398807,393659
3.0,3.0,1.0,2018,0.14825380399783278,247645
3.0,3.0,1.0,2018,0.14492633300517666,15624
3.0,3.0,1.0,2018,0.1439308266360533,90829
3.0,3.0,1.0,2018,0.1423907380149516,59807
4.0,3.0,1.0,18856,0.3580983523329636,46228
4.0,3.0,1.0,18856,0.23427825263074112,19079
4.0,3.0,1.0,18856,0.20070924197217085,35059
4.0,3.0,1.0,18856,0.1912864508876707,67509
4.0,3.0,1.0,18856,0.18212908717728046,50875
5.0,3.0,1.0,24940,0.24171002818913764,8357
5.0,3.0,1.0,24940,0.14475363719629808,19422
5.0,3.0,1.0,24940,0.13755822248467103,167305
5.0,3.0,1.0,24940,0.11274853313485118,124501
5.0,3.0,1.0,24940,0.11241230500440756,26275
6.0,3.0,1.0,10984,0.22083646175170457,152130
6.0,3.0,1.0,10984,0.17935249163539857,21927
6.0,3.0,1.0,10984,0.17431992973463384,376570
6.0,3.0,1.0,10984,0.1530150387252814,32856
6.0,3.0,1.0,10984,0.15109560372585001,82485
7.0,3.0,1.0,19513,0.17498024066252296,370178
7.0,3.0,1.0,19513,0.16956371319471572,63990
7.0,3.0,1.0,19513,0.16083801980301382,95383
7.0,3.0,1.0,19513,0.1561747268903422,41756
7.0,3.0,1.0,19513,0.15443918929913036,110490
8.0,3.0,1.0,10050,0.17595966589066334,130677
8.0,3.0,1.0,10050,0.16826822000347452,14823
8.0,3.0,1.0,10050,0.1566092410956934,32338
8.0,3.0,1.0,10050,0.15433755517804626,158150
8.0,3.0,1.0,10050,0.14986009582425724,27134
9.0,3.0,1.0,10833,0.211908187228596,81556
9.0,3.0,1.0,10833,0.1817732284982543,121734
9.0,3.0,1.0,10833,0.14500315399254723,50587
9.0,3.0,1.0,10833,0.14471695968942722,72525
9.0,3.0,1.0,10833,0.13339496383204918,24285
10.0,3.0,1.0,12658,0.23635764405795637,18089
