,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,3.0,2.0,131232,0.1365977160314749,159701
0.0,3.0,2.0,131232,0.13367334749414775,43987
0.0,3.0,2.0,131232,0.12920873998635343,185248
0.0,3.0,2.0,131232,0.1283473595550864,79908
0.0,3.0,2.0,131232,0.12810229294870298,49577
1.0,3.0,2.0,79782,0.2205048287764439,18613
1.0,3.0,2.0,79782,0.16002402410575214,57425
1.0,3.0,2.0,79782,0.15883458421383848,18896
1.0,3.0,2.0,79782,0.15768846075789955,159932
1.0,3.0,2.0,79782,0.15007197610818568,88334
2.0,3.0,2.0,141210,0.1950122024426171,29362
2.0,3.0,2.0,141210,0.16548230679732748,7461
2.0,3.0,2.0,141210,0.1631401145179897,390880
2.0,3.0,2.0,141210,0.15868618576671492,86705
2.0,3.0,2.0,141210,0.15340613408017587,77957
3.0,3.0,2.0,143750,0.2596236755050281,73976
3.0,3.0,2.0,143750,0.2575729781883117,43539
3.0,3.0,2.0,143750,0.23469473742971142,346641
3.0,3.0,2.0,143750,0.23413520275881625,18538
3.0,3.0,2.0,143750,0.22722447586036723,285549
4.0,3.0,2.0,84198,0.288305559925008,331641
4.0,3.0,2.0,84198,0.23003670660261483,142119
4.0,3.0,2.0,84198,0.20987649932942548,11214
4.0,3.0,2.0,84198,0.17146900517665703,18570
4.0,3.0,2.0,84198,0.16379599746306486,84094
5.0,3.0,2.0,171982,0.2850828133630477,44708
5.0,3.0,2.0,171982,0.24484100273970275,74460
5.0,3.0,2.0,171982,0.24419970723454407,193040
5.0,3.0,2.0,171982,0.2168339146709926,25649
5.0,3.0,2.0,171982,0.20867793163281081,213496
6.0,3.0,2.0,9989,0.14263724683299464,55934
6.0,3.0,2.0,9989,0.13400379192500733,17110
6.0,3.0,2.0,9989,0.12788495386870363,375183
6.0,3.0,2.0,9989,0.12267881138324775,289520
6.0,3.0,2.0,9989,0.11585611250175457,1647
7.0,3.0,2.0,18828,0.1917076921931873,22672
7.0,3.0,2.0,18828,0.18512777840805952,302156
7.0,3.0,2.0,18828,0.1808532175113228,65795
7.0,3.0,2.0,18828,0.15412624254006566,92326
7.0,3.0,2.0,18828,0.15011208871662698,46541
8.0,3.0,2.0,5955,0.20295494500859917,21062
8.0,3.0,2.0,5955,0.1765467093371094,9393
8.0,3.0,2.0,5955,0.1560552235534497,248934
8.0,3.0,2.0,5955,0.14976292265710442,8995
8.0,3.0,2.0,5955,0.146313937686758,19029
9.0,3.0,2.0,125498,0.3758915978705822,243919
9.0,3.0,2.0,125498,0.36710005294474296,76333
9.0,3.0,2.0,125498,0.36520277500080506,159622
9.0,3.0,2.0,125498,0.3560568493790414,79743
9.0,3.0,2.0,125498,0.3136806700377408,36618
10.0,3.0,2.0,10878,0.17190597589714537,60281
10.0,3.0,2.0,10878,0.1654548215842392,326057
10.0,3.0,2.0,10878,0.1457779511448971,156288
10.0,3.0,2.0,10878,0.1427087579914432,39064
10.0,3.0,2.0,10878,0.1396013314563141,240177
11.0,3.0,2.0,47588,0.18195239213620643,4251
11.0,3.0,2.0,47588,0.1606423260879993,255253
11.0,3.0,2.0,47588,0.1521165414667203,45132
11.0,3.0,2.0,47588,0.15020090236507688,16126
