,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,3.0,4.0,9740,0.1377813036322459,9533
0.0,3.0,4.0,9740,0.1345127079865488,36648
0.0,3.0,4.0,9740,0.13432240743266885,2502
0.0,3.0,4.0,9740,0.13283346161065823,14609
0.0,3.0,4.0,9740,0.1285623564219847,8836
1.0,3.0,4.0,2043,0.19762750588558245,94348
1.0,3.0,4.0,2043,0.14088801872272402,40040
1.0,3.0,4.0,2043,0.14016783420559104,152044
1.0,3.0,4.0,2043,0.13874922648758564,40080
1.0,3.0,4.0,2043,0.13127641875738394,1734
2.0,3.0,4.0,1734,0.15649233414660257,1735
2.0,3.0,4.0,1734,0.142309924390337,40080
2.0,3.0,4.0,1734,0.13127641875738394,2043
2.0,3.0,4.0,1734,0.10200081216700523,78049
2.0,3.0,4.0,1734,0.10110835129840927,55431
3.0,3.0,4.0,1995,0.1977773851880884,1996
3.0,3.0,4.0,1995,0.13925317157145137,80256
3.0,3.0,4.0,1995,0.13710589609784157,38185
3.0,3.0,4.0,1995,0.11202774077943872,2059
3.0,3.0,4.0,1995,0.10298766531650447,231811
4.0,3.0,4.0,9799,0.2938954807647674,51497
4.0,3.0,4.0,9799,0.19468604343438195,168259
4.0,3.0,4.0,9799,0.19148178466303348,13804
4.0,3.0,4.0,9799,0.13311611029013243,18070
4.0,3.0,4.0,9799,0.11669803040751983,74523
5.0,3.0,4.0,2114,0.15329498851851547,70981
5.0,3.0,4.0,2114,0.14126993776440175,1977
5.0,3.0,4.0,2114,0.1358945065898581,15767
5.0,3.0,4.0,2114,0.13120327396807457,71679
5.0,3.0,4.0,2114,0.12381806265674003,122917
6.0,3.0,4.0,331,0.11930226708896864,115290
6.0,3.0,4.0,331,0.1161622008927629,15809
6.0,3.0,4.0,331,0.11112291209846757,11253
6.0,3.0,4.0,331,0.10543143283154222,76341
6.0,3.0,4.0,331,0.10222625555471886,70981
7.0,3.0,4.0,5175,0.17547928974134616,137409
7.0,3.0,4.0,5175,0.17361050381084872,5174
7.0,3.0,4.0,5175,0.14790329685217354,13988
7.0,3.0,4.0,5175,0.13948232411016817,329540
7.0,3.0,4.0,5175,0.13865414214374036,27578
8.0,3.0,4.0,8922,0.13652545029754615,49018
8.0,3.0,4.0,8922,0.12537523523257538,84348
8.0,3.0,4.0,8922,0.11508497099676525,33875
8.0,3.0,4.0,8922,0.11031294329170799,1996
8.0,3.0,4.0,8922,0.10797824007659601,203835
9.0,3.0,4.0,30379,0.17733779472989875,16007
9.0,3.0,4.0,30379,0.1770185646294331,40709
9.0,3.0,4.0,30379,0.1409628035997919,38828
9.0,3.0,4.0,30379,0.13409046997411095,22855
9.0,3.0,4.0,30379,0.13288791037557687,1251
10.0,3.0,4.0,10866,0.14087690747487264,300665
10.0,3.0,4.0,10866,0.12946313568820342,7006
10.0,3.0,4.0,10866,0.12202032128362063,37169
10.0,3.0,4.0,10866,0.12060417663088768,56937
10.0,3.0,4.0,10866,0.10740200095169081,8922
11.0,3.0,4.0,141,0.11708584180563839,46441
11.0,3.0,4.0,141,0.11085608744070895,34734
11.0,3.0,4.0,141,0.09232717690908447,72190
11.0,3.0,4.0,141,0.08586129395666772,13185
11.0,3.0,4.0,141,0.08139891972249519,259693
12.0,3.0,4.0,8007,0.14093954069161305,16143
12.0,3.0,4.0,8007,0.11069391484203292,14245
12.0,3.0,4.0,8007,0.10888057512310459,75634
12.0,3.0,4.0,8007,0.1076691183265159,100183
12.0,3.0,4.0,8007,0.10611762122366714,11253
13.0,3.0,4.0,161,0.26724857919317907,17134
13.0,3.0,4.0,161,0.23577042894348627,298
13.0,3.0,4.0,161,0.21320240859779677,27651
13.0,3.0,4.0,161,0.1848192972782513,163
13.0,3.0,4.0,161,0.1658395737235949,74523
14.0,3.0,4.0,120,0.1926073713314287,122
14.0,3.0,4.0,120,0.18966072329789563,49051
14.0,3.0,4.0,120,0.18013286821263397,57158
14.0,3.0,4.0,120,0.17715998714029313,121
14.0,3.0,4.0,120,0.16532031605720252,173897
15.0,3.0,4.0,11979,0.18545688419702044,58595
15.0,3.0,4.0,11979,0.1653141139836665,2501
15.0,3.0,4.0,11979,0.15603962383012318,256040
15.0,3.0,4.0,11979,0.14918042503733192,78049
15.0,3.0,4.0,11979,0.14897747637720862,20441
16.0,3.0,4.0,25006,0.1911182899645288,9763
16.0,3.0,4.0,25006,0.13326216942202468,14631
16.0,3.0,4.0,25006,0.12763064598746876,133879
16.0,3.0,4.0,25006,0.12728917444902083,18616
16.0,3.0,4.0,25006,0.11221585125472287,133558
17.0,3.0,4.0,1576,0.22318575080001907,170
17.0,3.0,4.0,1576,0.1793509945465989,71679
17.0,3.0,4.0,1576,0.17740843650277216,35791
17.0,3.0,4.0,1576,0.16081993841988554,29293
17.0,3.0,4.0,1576,0.14503039725833697,11683
18.0,3.0,4.0,36586,0.21399418115151186,36648
18.0,3.0,4.0,36586,0.1993044145138247,346672
18.0,3.0,4.0,36586,0.1759408585176947,168705
18.0,3.0,4.0,36586,0.17471301375870144,49597
18.0,3.0,4.0,36586,0.15405905218270644,128841
19.0,3.0,4.0,9334,0.21037997637942873,13486
19.0,3.0,4.0,9334,0.15137160235382152,297291
19.0,3.0,4.0,9334,0.102111710419243,11253
19.0,3.0,4.0,9334,0.10055842078109774,10929
19.0,3.0,4.0,9334,0.09750559200019297,16007
20.0,3.0,4.0,11470,0.1720830152183931,1979
20.0,3.0,4.0,11470,0.16322641012669056,70981
20.0,3.0,4.0,11470,0.15501742938740404,16900
20.0,3.0,4.0,11470,0.15392492767983776,15767
20.0,3.0,4.0,11470,0.14799276830058694,10195
21.0,3.0,4.0,557,0.23221751888397427,559
21.0,3.0,4.0,557,0.21690640408225395,102382
21.0,3.0,4.0,557,0.20771381135647105,1930
21.0,3.0,4.0,557,0.19598381201410964,558
21.0,3.0,4.0,557,0.14158363437794622,23483
22.0,3.0,4.0,1894,0.43682631007416906,1895
22.0,3.0,4.0,1894,0.14245752863770245,14631
22.0,3.0,4.0,1894,0.13140371945506873,126963
22.0,3.0,4.0,1894,0.13011463928538047,58595
22.0,3.0,4.0,1894,0.1271984669913897,126889
23.0,3.0,4.0,4614,0.15228618442833897,137094
23.0,3.0,4.0,4614,0.11564764763465807,14631
23.0,3.0,4.0,4614,0.11541910511777559,324668
23.0,3.0,4.0,4614,0.11093158205985074,395925
23.0,3.0,4.0,4614,0.10096599451259389,282346
24.0,3.0,4.0,2501,0.18984130720477396,49521
24.0,3.0,4.0,2501,0.18400101264389912,49040
24.0,3.0,4.0,2501,0.17522119260337038,18248
24.0,3.0,4.0,2501,0.1731789634847557,2502
24.0,3.0,4.0,2501,0.1653141139836665,11979
25.0,3.0,4.0,11442,0.18412012698646485,57313
25.0,3.0,4.0,11442,0.18312678059207024,2082
25.0,3.0,4.0,11442,0.15266206602203872,24150
25.0,3.0,4.0,11442,0.13801996798446647,19951
25.0,3.0,4.0,11442,0.12825845437216785,13564
26.0,3.0,4.0,9488,0.22210769909602207,115290
26.0,3.0,4.0,9488,0.1496062869951751,158848
26.0,3.0,4.0,9488,0.1477629253972073,157424
26.0,3.0,4.0,9488,0.14674503674694647,37851
26.0,3.0,4.0,9488,0.13504230873632544,9392
27.0,3.0,4.0,7451,0.1607006244829457,248223
27.0,3.0,4.0,7451,0.16049147024940544,47971
27.0,3.0,4.0,7451,0.1536830327500384,56292
27.0,3.0,4.0,7451,0.11507164759175686,14245
27.0,3.0,4.0,7451,0.11378421672774379,565
28.0,3.0,4.0,9266,0.15720472757354673,17124
28.0,3.0,4.0,9266,0.15027734172879229,30975
28.0,3.0,4.0,9266,0.12715990707399508,393
28.0,3.0,4.0,9266,0.1237593334338043,24021
28.0,3.0,4.0,9266,0.11468692477343563,16250
29.0,3.0,4.0,15070,0.19530629682190692,15255
29.0,3.0,4.0,15070,0.1755004639920091,312221
29.0,3.0,4.0,15070,0.131292264313818,15840
29.0,3.0,4.0,15070,0.12140609300571382,73897
29.0,3.0,4.0,15070,0.11287938423011265,8456
30.0,3.0,4.0,4108,0.1793422947662809,133879
30.0,3.0,4.0,4108,0.17793147429803963,287948
30.0,3.0,4.0,4108,0.1768682695001569,141267
30.0,3.0,4.0,4108,0.16797077268543698,9335
30.0,3.0,4.0,4108,0.1544862327954309,13387
31.0,3.0,4.0,9533,0.17771931199764526,8836
31.0,3.0,4.0,9533,0.16890975824651813,1248
31.0,3.0,4.0,9533,0.1377813036322459,9740
31.0,3.0,4.0,9533,0.1282983263139679,291805
31.0,3.0,4.0,9533,0.1252600028176552,18759
32.0,3.0,4.0,10575,0.18903496282240403,4550
32.0,3.0,4.0,10575,0.18259667449367306,249070
32.0,3.0,4.0,10575,0.1795724582933421,24021
32.0,3.0,4.0,10575,0.17179059605628488,40127
32.0,3.0,4.0,10575,0.1632943799950413,10361
33.0,3.0,4.0,565,0.19648120241708417,14564
33.0,3.0,4.0,565,0.17063179412992857,10726
33.0,3.0,4.0,565,0.1629463208949174,10320
33.0,3.0,4.0,565,0.13127798571048915,76940
33.0,3.0,4.0,565,0.1273336166474366,114370
34.0,3.0,4.0,10167,0.12915448856585016,109080
34.0,3.0,4.0,10167,0.12721553637284622,16258
34.0,3.0,4.0,10167,0.12680582728019726,16353
34.0,3.0,4.0,10167,0.12285295171119204,76341
34.0,3.0,4.0,10167,0.12099111058605594,19912
35.0,3.0,4.0,29229,0.17591375433877637,18015
35.0,3.0,4.0,29229,0.17197698592770871,113082
35.0,3.0,4.0,29229,0.15905342407276812,49538
