,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,2.0,1.0,10895,0.13560916173339524,46929
0.0,2.0,1.0,10895,0.10964434444111883,247773
0.0,2.0,1.0,10895,0.108451977236825,28978
0.0,2.0,1.0,10895,0.1042802905144828,84090
0.0,2.0,1.0,10895,0.10300083704641767,43384
1.0,2.0,1.0,26744,0.21844336609188056,27899
1.0,2.0,1.0,26744,0.1835129166607213,19119
1.0,2.0,1.0,26744,0.14981441684469995,25735
1.0,2.0,1.0,26744,0.14714747771307546,76076
1.0,2.0,1.0,26744,0.1376876555633059,401461
2.0,2.0,1.0,245268,0.21507050113732512,43384
2.0,2.0,1.0,245268,0.17865489976642598,18148
2.0,2.0,1.0,245268,0.1645354171068962,99351
2.0,2.0,1.0,245268,0.15566698425875974,183190
2.0,2.0,1.0,245268,0.14857341511431968,168994
3.0,2.0,1.0,110465,0.2671292027282641,206034
3.0,2.0,1.0,110465,0.21201824975065875,43384
3.0,2.0,1.0,110465,0.20009479379502854,24965
3.0,2.0,1.0,110465,0.19715107743764043,53865
3.0,2.0,1.0,110465,0.1894088046692652,84274
4.0,2.0,1.0,43596,0.16546096442477426,964
4.0,2.0,1.0,43596,0.16019356323495318,50030
4.0,2.0,1.0,43596,0.13666517950499327,159727
4.0,2.0,1.0,43596,0.13110186735786405,174187
4.0,2.0,1.0,43596,0.12538645059076056,6793
5.0,2.0,1.0,27854,0.27083277872970773,46014
5.0,2.0,1.0,27854,0.15988150118632297,43506
5.0,2.0,1.0,27854,0.1459242003411395,193638
5.0,2.0,1.0,27854,0.14036462118400259,166007
5.0,2.0,1.0,27854,0.13849055306542005,44087
6.0,2.0,1.0,872,0.1666934415787997,53522
6.0,2.0,1.0,872,0.16070662116926207,37183
6.0,2.0,1.0,872,0.16037155080357834,62188
6.0,2.0,1.0,872,0.1436951142201425,64851
6.0,2.0,1.0,872,0.14311764764190715,156335
7.0,2.0,1.0,2769,0.18959303188293583,51277
7.0,2.0,1.0,2769,0.15535917980420486,62396
7.0,2.0,1.0,2769,0.15423892670695644,55859
7.0,2.0,1.0,2769,0.13625147431783693,3080
7.0,2.0,1.0,2769,0.13617893861410238,40235
8.0,2.0,1.0,567,0.19107609046481003,114302
8.0,2.0,1.0,567,0.16955330544024222,678
8.0,2.0,1.0,567,0.16334901827662845,160254
8.0,2.0,1.0,567,0.15497957586991531,62661
