,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,1.0,1.0,31357,0.13334129540060446,9400
0.0,1.0,1.0,31357,0.10929898518481902,9382
0.0,1.0,1.0,31357,0.1044048083790238,59871
0.0,1.0,1.0,31357,0.10038047530508398,105246
0.0,1.0,1.0,31357,0.10003826380968725,125124
1.0,1.0,1.0,1408,0.1398344700813592,42911
1.0,1.0,1.0,1408,0.1349808536386351,67849
1.0,1.0,1.0,1408,0.13404029777444743,73336
1.0,1.0,1.0,1408,0.134013239657007,25128
1.0,1.0,1.0,1408,0.13301953401815855,208436
2.0,1.0,1.0,4584,0.14755222164885923,86483
2.0,1.0,1.0,4584,0.13567555477472906,251732
2.0,1.0,1.0,4584,0.12234516769161878,41779
2.0,1.0,1.0,4584,0.11560714704726234,142374
2.0,1.0,1.0,4584,0.10953043509634816,66588
3.0,1.0,1.0,1710,0.2307859388529881,119324
3.0,1.0,1.0,1710,0.22016228397413853,99104
3.0,1.0,1.0,1710,0.19753248510149096,124524
3.0,1.0,1.0,1710,0.1905368344404507,39434
3.0,1.0,1.0,1710,0.18540222279637356,142412
4.0,1.0,1.0,12665,0.13827680943482287,1411
4.0,1.0,1.0,12665,0.11965403387624939,44326
4.0,1.0,1.0,12665,0.11545590885116144,18555
4.0,1.0,1.0,12665,0.11341880651369464,48781
4.0,1.0,1.0,12665,0.10925012076598822,89292
5.0,1.0,1.0,9263,0.1008887445257681,86369
5.0,1.0,1.0,9263,0.0992139437645801,47033
5.0,1.0,1.0,9263,0.09809432060474849,8130
5.0,1.0,1.0,9263,0.09700505938427395,60587
5.0,1.0,1.0,9263,0.08915136396352945,200114
6.0,1.0,1.0,17015,0.192696697068857,67794
6.0,1.0,1.0,17015,0.18471551862068486,124475
6.0,1.0,1.0,17015,0.1329142767038047,1163
6.0,1.0,1.0,17015,0.13173980523323262,52805
6.0,1.0,1.0,17015,0.11750604775115626,54165
7.0,1.0,1.0,37557,0.15412669436090992,11599
7.0,1.0,1.0,37557,0.12823378533510998,35178
7.0,1.0,1.0,37557,0.12182334645910683,63691
7.0,1.0,1.0,37557,0.11656661981317912,32088
7.0,1.0,1.0,37557,0.1089723689317671,13681
8.0,1.0,1.0,9909,0.13544208603654737,24548
8.0,1.0,1.0,9909,0.12501349474028733,170187
8.0,1.0,1.0,9909,0.12258498292221867,10500
8.0,1.0,1.0,9909,0.1215307316634804,11355
8.0,1.0,1.0,9909,0.12140133212118566,45511
9.0,1.0,1.0,47018,0.1411516560744426,42034
9.0,1.0,1.0,47018,0.12561765687021834,39177
9.0,1.0,1.0,47018,0.10601941169621888,41291
9.0,1.0,1.0,47018,0.0992326884214637,53119
9.0,1.0,1.0,47018,0.09707486725849691,2767
10.0,1.0,1.0,687,0.1402167796191619,105448
10.0,1.0,1.0,687,0.1353400550240414,44326
10.0,1.0,1.0,687,0.13324918031545363,76857
10.0,1.0,1.0,687,0.12957404180192572,31955
10.0,1.0,1.0,687,0.12257260612439325,125124
11.0,1.0,1.0,33689,0.17813283588787485,9820
11.0,1.0,1.0,33689,0.1682511084610107,29371
11.0,1.0,1.0,33689,0.1416922222186368,71884
11.0,1.0,1.0,33689,0.1395384249966767,49497
11.0,1.0,1.0,33689,0.1385586435833742,36251
12.0,1.0,1.0,577,0.12402351541616072,11489
12.0,1.0,1.0,577,0.12295861331002307,8130
12.0,1.0,1.0,577,0.11567338944126572,13892
12.0,1.0,1.0,577,0.11468441330085778,71730
12.0,1.0,1.0,577,0.1136311948473432,44018
13.0,1.0,1.0,11861,0.1455611889399131,80059
13.0,1.0,1.0,11861,0.132225422346425,10324
13.0,1.0,1.0,11861,0.13051696816571975,9822
13.0,1.0,1.0,11861,0.12876223003919737,123056
13.0,1.0,1.0,11861,0.11705708988915647,105448
14.0,1.0,1.0,117164,0.17907073320223782,44857
14.0,1.0,1.0,117164,0.13217507438522827,78281
14.0,1.0,1.0,117164,0.12438322322938161,42033
14.0,1.0,1.0,117164,0.10972804340752215,59797
14.0,1.0,1.0,117164,0.10464853010232941,71881
15.0,1.0,1.0,97406,0.16865960517203465,58985
15.0,1.0,1.0,97406,0.14794954071409228,113217
15.0,1.0,1.0,97406,0.1363471611284846,4587
15.0,1.0,1.0,97406,0.13503901296254933,117259
15.0,1.0,1.0,97406,0.13248901763421317,213917
16.0,1.0,1.0,9089,0.19435196244349626,80713
16.0,1.0,1.0,9089,0.18391499757813334,104301
16.0,1.0,1.0,9089,0.18305927334244318,57738
16.0,1.0,1.0,9089,0.1817915547184695,91445
16.0,1.0,1.0,9089,0.18102438628351517,46835
17.0,1.0,1.0,17182,0.1587820150368323,44046
17.0,1.0,1.0,17182,0.15108549602927185,44047
17.0,1.0,1.0,17182,0.12989662264569263,41787
17.0,1.0,1.0,17182,0.1295221174393405,14673
17.0,1.0,1.0,17182,0.1257520154923839,98377
18.0,1.0,1.0,19760,0.16562592932672066,67849
18.0,1.0,1.0,19760,0.15082448803777457,18591
18.0,1.0,1.0,19760,0.13994911912711383,397
18.0,1.0,1.0,19760,0.13926448382524262,93350
18.0,1.0,1.0,19760,0.13554545991897962,41165
19.0,1.0,1.0,4482,0.16810408761486462,10385
19.0,1.0,1.0,4482,0.13558940858748642,35564
19.0,1.0,1.0,4482,0.1297665755991413,18402
19.0,1.0,1.0,4482,0.12327837930910676,2731
19.0,1.0,1.0,4482,0.1207128678533506,78177
20.0,1.0,1.0,9623,0.17724142080416264,249
20.0,1.0,1.0,9623,0.16849500814533966,119639
20.0,1.0,1.0,9623,0.16634043072589252,44326
20.0,1.0,1.0,9623,0.16408073213590257,67849
20.0,1.0,1.0,9623,0.16072554070156708,170187
21.0,1.0,1.0,880,0.10869323144547695,124042
21.0,1.0,1.0,880,0.1051732350265403,5896
21.0,1.0,1.0,880,0.1041162521619178,60587
21.0,1.0,1.0,880,0.09940010192237894,30285
21.0,1.0,1.0,880,0.09550164972773437,58207
22.0,1.0,1.0,9095,0.20082088470548587,47475
22.0,1.0,1.0,9095,0.10867444702897129,87388
22.0,1.0,1.0,9095,0.10653273301543546,142499
22.0,1.0,1.0,9095,0.1012202764489228,48781
22.0,1.0,1.0,9095,0.10020633619738216,200114
23.0,1.0,1.0,45549,0.16245065329742886,102909
23.0,1.0,1.0,45549,0.14323023853477815,168361
23.0,1.0,1.0,45549,0.11950502060145746,10404
23.0,1.0,1.0,45549,0.11272363456479839,10613
23.0,1.0,1.0,45549,0.10566806672857662,31909
24.0,1.0,1.0,47475,0.20082088470548587,9095
24.0,1.0,1.0,47475,0.13946073760777794,89292
24.0,1.0,1.0,47475,0.13758146323679096,65326
24.0,1.0,1.0,47475,0.1311469865430842,301233
24.0,1.0,1.0,47475,0.12612855672278914,57738
25.0,1.0,1.0,688,0.1955221167036022,59053
25.0,1.0,1.0,688,0.12124608106463024,126031
25.0,1.0,1.0,688,0.11695595457701835,9909
25.0,1.0,1.0,688,0.10588178134459436,22102
25.0,1.0,1.0,688,0.10125531580463959,24137
26.0,1.0,1.0,11907,1.0000000000000002,29938
26.0,1.0,1.0,11907,1.0000000000000002,12575
26.0,1.0,1.0,11907,1.0000000000000002,11677
26.0,1.0,1.0,11907,1.0000000000000002,8556
26.0,1.0,1.0,11907,1.0000000000000002,10129
27.0,1.0,1.0,43566,0.15405101407963134,20310
27.0,1.0,1.0,43566,0.15039545311053096,2263
27.0,1.0,1.0,43566,0.14671187950449463,221981
27.0,1.0,1.0,43566,0.14468897873013864,12520
27.0,1.0,1.0,43566,0.14041879505017,11929
28.0,1.0,1.0,71754,0.1694843061094156,34760
28.0,1.0,1.0,71754,0.16093216767488416,73257
28.0,1.0,1.0,71754,0.15083817007280972,10480
28.0,1.0,1.0,71754,0.12758346995355085,47907
28.0,1.0,1.0,71754,0.1270951945637005,33766
29.0,1.0,1.0,10324,0.20195738750262796,13966
