,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,3.0,4.0,9816,0.13997124804096456,10611
0.0,3.0,4.0,9816,0.11855005714377971,10625
0.0,3.0,4.0,9816,0.10569730015363765,1931
0.0,3.0,4.0,9816,0.10497737536066726,11007
0.0,3.0,4.0,9816,0.09316753474834231,11130
1.0,3.0,4.0,56715,0.1813787504024299,83456
1.0,3.0,4.0,56715,0.18035286277286666,40709
1.0,3.0,4.0,56715,0.16576250484350935,34019
1.0,3.0,4.0,56715,0.159607690679604,12496
1.0,3.0,4.0,56715,0.1585403135928185,7294
2.0,3.0,4.0,634,0.2183917877379452,95610
2.0,3.0,4.0,634,0.19258682486738876,9801
2.0,3.0,4.0,634,0.11715499885319304,16768
2.0,3.0,4.0,634,0.11147391568375226,58219
2.0,3.0,4.0,634,0.10078514706562136,9803
3.0,3.0,4.0,10956,0.18314121072102968,335970
3.0,3.0,4.0,10956,0.15020260927509477,72914
3.0,3.0,4.0,10956,0.14496934505437878,257451
3.0,3.0,4.0,10956,0.1392689818311156,11452
3.0,3.0,4.0,10956,0.12397680454557475,27561
4.0,3.0,4.0,9290,0.1453061909882056,15824
4.0,3.0,4.0,9290,0.13805312226445868,109418
4.0,3.0,4.0,9290,0.1281074928530017,87311
4.0,3.0,4.0,9290,0.12359254312619974,85435
4.0,3.0,4.0,9290,0.11899790591066178,14306
5.0,3.0,4.0,10808,0.18653530784147548,72105
5.0,3.0,4.0,10808,0.16338433907007516,9803
5.0,3.0,4.0,10808,0.14322586972432821,20036
5.0,3.0,4.0,10808,0.1303748294225356,206408
5.0,3.0,4.0,10808,0.1256179715939308,818
6.0,3.0,4.0,10992,0.12219441531436612,39691
6.0,3.0,4.0,10992,0.10509920303124183,11211
6.0,3.0,4.0,10992,0.10240426915771078,281338
6.0,3.0,4.0,10992,0.09797376760964367,1268
6.0,3.0,4.0,10992,0.09175680442753653,243938
7.0,3.0,4.0,4248,0.12651675700575782,134375
7.0,3.0,4.0,4248,0.11515726166204651,12536
7.0,3.0,4.0,4248,0.09938456192930473,70587
7.0,3.0,4.0,4248,0.09874295447714881,64688
7.0,3.0,4.0,4248,0.09702044547169068,4257
