,clstr_a,clstr_b,pelicula_id,cos_smltd,vecino_id
0.0,1.0,1.0,8844,0.21297954209813297,14237
0.0,1.0,1.0,8844,0.1837144983689332,249358
0.0,1.0,1.0,8844,0.16692300976329974,8765
0.0,1.0,1.0,8844,0.16267674001257382,1946
0.0,1.0,1.0,8844,0.15685934422236417,60760
1.0,1.0,1.0,31357,0.15669344862879242,113175
1.0,1.0,1.0,31357,0.13349155345382274,82868
1.0,1.0,1.0,31357,0.12193690916062329,9400
1.0,1.0,1.0,31357,0.12135926863861364,10699
1.0,1.0,1.0,31357,0.12109072268556817,58083
2.0,1.0,1.0,949,0.14707569272807505,60760
2.0,1.0,1.0,949,0.14150921535058208,59481
2.0,1.0,1.0,949,0.14004940312858427,146373
2.0,1.0,1.0,949,0.13870422323852816,31597
2.0,1.0,1.0,949,0.12910838001002703,134201
3.0,1.0,1.0,11860,0.1406202809457323,13824
3.0,1.0,1.0,11860,0.12266568232895568,32446
3.0,1.0,1.0,11860,0.1225783945272792,102304
3.0,1.0,1.0,11860,0.12091996287759842,18143
3.0,1.0,1.0,11860,0.11820575919200739,226630
4.0,1.0,1.0,45325,0.2926539010050041,11074
4.0,1.0,1.0,45325,0.25927176637376853,53027
4.0,1.0,1.0,45325,0.23034319894532224,23570
4.0,1.0,1.0,45325,0.22851763795798014,76891
4.0,1.0,1.0,45325,0.22562774387472204,59908
5.0,1.0,1.0,9091,0.18293642163869536,100568
5.0,1.0,1.0,9091,0.17148210705345773,37498
5.0,1.0,1.0,9091,0.14399378261898135,10908
5.0,1.0,1.0,9091,0.1431226836490034,9594
5.0,1.0,1.0,9091,0.13486070924256346,26964
6.0,1.0,1.0,9087,0.15375634494459126,26366
6.0,1.0,1.0,9087,0.15334980600222517,181269
6.0,1.0,1.0,9087,0.15118676658274877,77670
6.0,1.0,1.0,9087,0.13059090244402377,124295
6.0,1.0,1.0,9087,0.12644626990969438,15413
7.0,1.0,1.0,12110,0.1993281931245758,34574
7.0,1.0,1.0,12110,0.19525490167737447,13815
7.0,1.0,1.0,12110,0.1949794825025045,6114
7.0,1.0,1.0,12110,0.1787149994752338,7091
7.0,1.0,1.0,12110,0.16723721432666377,46230
8.0,1.0,1.0,10858,0.263811751780589,16406
8.0,1.0,1.0,10858,0.20802201988427652,50034
8.0,1.0,1.0,10858,0.13491802937301622,207937
8.0,1.0,1.0,10858,0.13164309308924504,14242
8.0,1.0,1.0,10858,0.12120297132223842,109669
9.0,1.0,1.0,1408,0.21215460350373655,106199
9.0,1.0,1.0,1408,0.19644179896756925,20859
9.0,1.0,1.0,1408,0.19357509566060527,67849
9.0,1.0,1.0,1408,0.18814911409271803,213917
9.0,1.0,1.0,1408,0.18777236819980983,73336
10.0,1.0,1.0,524,0.25737471905072834,229094
10.0,1.0,1.0,524,0.22933881825372274,47878
10.0,1.0,1.0,524,0.22501723760857031,54514
10.0,1.0,1.0,524,0.2177698853135772,75465
10.0,1.0,1.0,524,0.18682438144506128,9430
11.0,1.0,1.0,4584,0.1678005538223053,86483
11.0,1.0,1.0,4584,0.16253675742464568,41889
11.0,1.0,1.0,4584,0.15225028783328534,75490
11.0,1.0,1.0,4584,0.15133864293270533,266333
11.0,1.0,1.0,4584,0.14038969012181088,10451
12.0,1.0,1.0,5,0.17014631474050612,60199
12.0,1.0,1.0,5,0.16170659498517603,89463
12.0,1.0,1.0,5,0.1515638390416738,22617
12.0,1.0,1.0,5,0.1474347357771057,6107
12.0,1.0,1.0,5,0.14628692786683578,65662
13.0,1.0,1.0,11517,0.21098620510889374,38558
13.0,1.0,1.0,11517,0.20392378649766224,72655
13.0,1.0,1.0,11517,0.18206308001394766,18763
13.0,1.0,1.0,11517,0.1810754955471456,20721
13.0,1.0,1.0,11517,0.16094817155762745,2088
14.0,1.0,1.0,1710,0.2855999373105105,40961
14.0,1.0,1.0,1710,0.279175838327567,10909
14.0,1.0,1.0,1710,0.2484291780558705,62039
14.0,1.0,1.0,1710,0.23787111115947987,56653
14.0,1.0,1.0,1710,0.22775624555280793,48118
15.0,1.0,1.0,9691,0.1715813584070835,50185
15.0,1.0,1.0,9691,0.13694395276984564,38940
15.0,1.0,1.0,9691,0.1288081666651031,87388
15.0,1.0,1.0,9691,0.12874419176737326,10146
15.0,1.0,1.0,9691,0.12722674900045608,109669
16.0,1.0,1.0,12665,0.1538236233378362,3028
16.0,1.0,1.0,12665,0.13638656922650294,13
16.0,1.0,1.0,12665,0.1343420575699962,1411
16.0,1.0,1.0,12665,0.1275084505272089,11503
16.0,1.0,1.0,12665,0.12472811397000286,80965
17.0,1.0,1.0,451,0.16826124300389875,114394
17.0,1.0,1.0,451,0.1652583902502382,163869
17.0,1.0,1.0,451,0.1580018506183397,229094
17.0,1.0,1.0,451,0.14305708797452146,128414
17.0,1.0,1.0,451,0.14271847769842136,524
18.0,1.0,1.0,16420,0.36225385012344724,119928
18.0,1.0,1.0,16420,0.20511216746205677,16233
18.0,1.0,1.0,16420,0.196137868001775,113885
18.0,1.0,1.0,16420,0.18422533556998866,30363
18.0,1.0,1.0,16420,0.18172828169421176,9413
19.0,1.0,1.0,9263,0.14625042975559122,24403
19.0,1.0,1.0,9263,0.14202469137015633,30890
19.0,1.0,1.0,9263,0.12979919643724697,24584
19.0,1.0,1.0,9263,0.12624172383763035,59930
19.0,1.0,1.0,9263,0.12035702535732483,26578
20.0,1.0,1.0,17015,0.3415792672109266,128396
20.0,1.0,1.0,17015,0.20966755047180807,67794
20.0,1.0,1.0,17015,0.19164616191080452,124475
20.0,1.0,1.0,17015,0.1839550343312425,2020
20.0,1.0,1.0,17015,0.1544846272187288,125762
21.0,1.0,1.0,902,0.1784385769523599,9609
21.0,1.0,1.0,902,0.1494849849448042,138522
21.0,1.0,1.0,902,0.1449911402775556,62410
21.0,1.0,1.0,902,0.13664820541318567,84633
21.0,1.0,1.0,902,0.1361626277774402,58434
22.0,1.0,1.0,37557,0.2989496669457225,45935
22.0,1.0,1.0,37557,0.17038586845849624,47694
22.0,1.0,1.0,37557,0.161005795379516,11599
22.0,1.0,1.0,37557,0.1327484564627721,83491
22.0,1.0,1.0,37557,0.12982594228754102,10110
23.0,1.0,1.0,9909,0.16351982035000362,24548
23.0,1.0,1.0,9909,0.16214669896770628,170187
23.0,1.0,1.0,9909,0.15398022699320735,26444
23.0,1.0,1.0,9909,0.14467683753049423,168361
23.0,1.0,1.0,9909,0.1437309245401788,105448
24.0,1.0,1.0,63,0.2155029394775302,96958
24.0,1.0,1.0,63,0.17356537658327723,115232
24.0,1.0,1.0,63,0.1699132200953334,55687
24.0,1.0,1.0,63,0.16962565735434537,745
24.0,1.0,1.0,63,0.16422513713716053,6950
25.0,1.0,1.0,47018,0.12320554091538606,42034
25.0,1.0,1.0,47018,0.11939333992367461,47893
25.0,1.0,1.0,47018,0.10885078229544244,53896
25.0,1.0,1.0,47018,0.10720063604669598,27052
25.0,1.0,1.0,47018,0.10032028317328688,47817
26.0,1.0,1.0,687,0.14872027556219813,143547
26.0,1.0,1.0,687,0.14401268214540924,69342
26.0,1.0,1.0,687,0.1402151977919918,12143
26.0,1.0,1.0,687,0.13368734630933532,105448
26.0,1.0,1.0,687,0.13014629102056516,252407
27.0,1.0,1.0,33689,0.18110867425690733,9820
27.0,1.0,1.0,33689,0.1676068269255944,48660
27.0,1.0,1.0,33689,0.16242613216434007,29371
27.0,1.0,1.0,33689,0.15116205348082504,71884
27.0,1.0,1.0,33689,0.1458806328018558,36251
28.0,1.0,1.0,9603,0.19229616244940728,2039
28.0,1.0,1.0,9603,0.16581574957373207,24548
28.0,1.0,1.0,9603,0.15941625375603238,170187
28.0,1.0,1.0,9603,0.15775371331407578,25199
28.0,1.0,1.0,9603,0.1455092576975545,105448
29.0,1.0,1.0,34615,0.21877648650785836,109466
29.0,1.0,1.0,34615,0.18289333656128703,2895
29.0,1.0,1.0,34615,0.17228447126781832,78239
29.0,1.0,1.0,34615,0.17043196504100844,25674
29.0,1.0,1.0,34615,0.1541344007608805,85512
30.0,1.0,1.0,31174,0.23669254475628432,1934
30.0,1.0,1.0,31174,0.21469968350684393,10705
30.0,1.0,1.0,31174,0.18050888643042431,16233
30.0,1.0,1.0,31174,0.16075533882494916,113885
30.0,1.0,1.0,31174,0.15679294483344156,8749
31.0,1.0,1.0,11443,0.1538015989385045,26271
31.0,1.0,1.0,11443,0.14219045070355674,33253
31.0,1.0,1.0,11443,0.14105898593017394,69056
31.0,1.0,1.0,11443,0.13828814975316805,112422
31.0,1.0,1.0,11443,0.1352172882243684,30194
32.0,1.0,1.0,35196,0.22957294965677877,6264
32.0,1.0,1.0,35196,0.19866515338122692,10548
32.0,1.0,1.0,35196,0.19351538451576844,8005
32.0,1.0,1.0,35196,0.1908982633344158,848
32.0,1.0,1.0,35196,0.19004321460771517,42040
33.0,1.0,1.0,577,0.2330823519624744,383
33.0,1.0,1.0,577,0.18278616777783066,21433
33.0,1.0,1.0,577,0.17054133289093668,476
33.0,1.0,1.0,577,0.15456290918347967,711
33.0,1.0,1.0,577,0.14617728528618462,229081
34.0,1.0,1.0,11861,0.17662694107290458,80059
34.0,1.0,1.0,11861,0.15474883184908367,123056
34.0,1.0,1.0,11861,0.1519973484836891,67849
34.0,1.0,1.0,11861,0.14744764254022577,105448
34.0,1.0,1.0,11861,0.1422881650421484,20859
35.0,1.0,1.0,807,0.16977990620744904,10909
35.0,1.0,1.0,807,0.1609537581366129,11707
35.0,1.0,1.0,807,0.1561892734077961,9481
35.0,1.0,1.0,807,0.1534564960463573,12554
35.0,1.0,1.0,807,0.14719626695348323,72655
36.0,1.0,1.0,8391,0.1435840992812723,11300
36.0,1.0,1.0,8391,0.13738504746023064,78177
36.0,1.0,1.0,8391,0.13481342831986085,123049
36.0,1.0,1.0,8391,0.12878514086448317,85058
36.0,1.0,1.0,8391,0.12817150012650338,29419
37.0,1.0,1.0,629,0.17642221665635416,27381
37.0,1.0,1.0,629,0.1276258605169729,89307
37.0,1.0,1.0,629,0.11544396004374527,14805
37.0,1.0,1.0,629,0.10676523522027678,10021
37.0,1.0,1.0,629,0.10349979136810396,318
38.0,1.0,1.0,117164,0.1862002137102887,44857
38.0,1.0,1.0,117164,0.1426229151735869,55694
38.0,1.0,1.0,117164,0.1318966005790706,4485
38.0,1.0,1.0,117164,0.12679034855851187,78281
38.0,1.0,1.0,117164,0.12149739935042515,43742
39.0,1.0,1.0,11448,0.2978098117504265,94440
39.0,1.0,1.0,11448,0.27036983400714426,23614
39.0,1.0,1.0,11448,0.20200178802487184,281
39.0,1.0,1.0,11448,0.17456487644106236,103162
39.0,1.0,1.0,11448,0.15503426554196906,59585
40.0,1.0,1.0,49133,0.16481977120646094,52770
40.0,1.0,1.0,49133,0.11016309418110577,60202
40.0,1.0,1.0,49133,0.10611674298170555,14362
40.0,1.0,1.0,49133,0.1002176235698813,666
40.0,1.0,1.0,49133,0.09781255157201856,10905
41.0,1.0,1.0,26441,0.23066708913687103,4285
41.0,1.0,1.0,26441,0.1680340367776263,1439
41.0,1.0,1.0,26441,0.14967047615659512,95743
41.0,1.0,1.0,26441,0.14795600808202045,15419
41.0,1.0,1.0,26441,0.1460417299474039,24129
42.0,1.0,1.0,97406,0.18146514075886988,58985
42.0,1.0,1.0,97406,0.1603044063285383,119639
42.0,1.0,1.0,97406,0.16002284474966258,67849
42.0,1.0,1.0,97406,0.15559216906000847,213917
42.0,1.0,1.0,97406,0.15385223376920074,16551
43.0,1.0,1.0,124057,0.41374015892667404,11527
43.0,1.0,1.0,124057,0.2291242942335126,18937
43.0,1.0,1.0,124057,0.16912575662905696,6264
43.0,1.0,1.0,124057,0.16654461204526427,40341
43.0,1.0,1.0,124057,0.15626060066720093,41771
44.0,1.0,1.0,9089,0.28576753557463963,9439
44.0,1.0,1.0,9089,0.25668596697591173,20978
44.0,1.0,1.0,9089,0.24461039250606484,80713
44.0,1.0,1.0,9089,0.23987991969960096,465
44.0,1.0,1.0,9089,0.2393015324994762,67849
45.0,1.0,1.0,11010,0.18206232414191983,36221
45.0,1.0,1.0,11010,0.1696990180702437,47434
45.0,1.0,1.0,11010,0.1437740198866071,8291
45.0,1.0,1.0,11010,0.13367876825253128,41930
45.0,1.0,1.0,11010,0.13173562530028674,2923
46.0,1.0,1.0,99040,0.18096801518567063,36141
46.0,1.0,1.0,99040,0.16985795173755466,15080
46.0,1.0,1.0,99040,0.16968968322369377,20607
46.0,1.0,1.0,99040,0.157057557850616,41784
46.0,1.0,1.0,99040,0.15031750840935992,117259
47.0,1.0,1.0,11359,0.22201203113410803,41791
47.0,1.0,1.0,11359,0.20127446825683473,10386
47.0,1.0,1.0,11359,0.19882098641999874,62394
47.0,1.0,1.0,11359,0.18827425229604222,91396
47.0,1.0,1.0,11359,0.186825284703045,33125
48.0,1.0,1.0,17182,0.22605153602566627,43535
48.0,1.0,1.0,17182,0.16209650962339414,20859
48.0,1.0,1.0,17182,0.16119150291876322,44046
48.0,1.0,1.0,17182,0.15490893231007952,44047
48.0,1.0,1.0,17182,0.14440025770115805,14673
49.0,1.0,1.0,2054,0.22094612436439595,53426
49.0,1.0,1.0,2054,0.17703189354274732,9451
49.0,1.0,1.0,2054,0.16751026263390528,145066
49.0,1.0,1.0,2054,0.15704795359320534,31074
49.0,1.0,1.0,2054,0.14500940088489073,31601
50.0,1.0,1.0,10607,0.13607591118004675,9272
50.0,1.0,1.0,10607,0.12148117539100739,92371
50.0,1.0,1.0,10607,0.11942550504143436,82857
50.0,1.0,1.0,10607,0.1183065907760361,94725
50.0,1.0,1.0,10607,0.11715448191200228,31695
51.0,1.0,1.0,19760,0.1530364950749985,18591
51.0,1.0,1.0,19760,0.1528907105970221,26571
51.0,1.0,1.0,19760,0.1485650080308009,8649
51.0,1.0,1.0,19760,0.1440578629155902,38950
51.0,1.0,1.0,19760,0.13963649772039013,123628
52.0,1.0,1.0,9536,0.17137136459577954,49956
52.0,1.0,1.0,9536,0.15488561951063134,144676
52.0,1.0,1.0,9536,0.15070649261459268,8833
52.0,1.0,1.0,9536,0.150615474804852,2293
52.0,1.0,1.0,9536,0.1461703072805185,77670
53.0,1.0,1.0,40628,0.1421167667922396,151370
53.0,1.0,1.0,40628,0.14185020130727702,100975
53.0,1.0,1.0,40628,0.12179608630410374,52103
53.0,1.0,1.0,40628,0.1209214202917557,62394
53.0,1.0,1.0,40628,0.12070839783362282,47818
54.0,1.0,1.0,4482,0.197388296870697,26941
54.0,1.0,1.0,4482,0.15948774626843013,27742
54.0,1.0,1.0,4482,0.15568778313076806,38987
54.0,1.0,1.0,4482,0.1526454888006091,11157
54.0,1.0,1.0,4482,0.14853155729254153,47502
55.0,1.0,1.0,11859,0.33814155882889513,38558
55.0,1.0,1.0,11859,0.16196968089166106,8838
55.0,1.0,1.0,11859,0.1510678916727587,9546
55.0,1.0,1.0,11859,0.14781884910299511,9057
55.0,1.0,1.0,11859,0.14041333226601777,41952
56.0,1.0,1.0,28387,0.15581932195863968,38291
56.0,1.0,1.0,28387,0.1522584198434615,13563
56.0,1.0,1.0,28387,0.14401898251736672,18862
56.0,1.0,1.0,28387,0.14375910185370208,11174
56.0,1.0,1.0,28387,0.1429912721447285,36392
57.0,1.0,1.0,48750,0.18411187848771232,12504
57.0,1.0,1.0,48750,0.1646459003897692,79599
57.0,1.0,1.0,48750,0.1639487281961691,48580
57.0,1.0,1.0,48750,0.15313550443968066,41975
57.0,1.0,1.0,48750,0.1406988800062256,33914
58.0,1.0,1.0,20927,0.1347937568383759,26642
58.0,1.0,1.0,20927,0.13393540188843145,18395
58.0,1.0,1.0,20927,0.12832507771897061,206412
58.0,1.0,1.0,20927,0.1282715765172398,87506
58.0,1.0,1.0,20927,0.12616165775066757,23378
59.0,1.0,1.0,36929,0.18742981419438162,93350
59.0,1.0,1.0,36929,0.17260367157222872,44414
59.0,1.0,1.0,36929,0.1604261786217923,72356
59.0,1.0,1.0,36929,0.1531429763102718,311
59.0,1.0,1.0,36929,0.14535411248110194,37233
60.0,1.0,1.0,124626,0.13057624626640715,39934
60.0,1.0,1.0,124626,0.12988110691063154,92171
60.0,1.0,1.0,124626,0.1288612082370756,48259
60.0,1.0,1.0,124626,0.12475074655746252,104435
60.0,1.0,1.0,124626,0.12379936971496983,72031
61.0,1.0,1.0,27526,0.15718801022655549,9386
61.0,1.0,1.0,27526,0.14945215804757483,34518
61.0,1.0,1.0,27526,0.14380701023399592,9464
61.0,1.0,1.0,27526,0.14287642047788104,15736
61.0,1.0,1.0,27526,0.13503474482562822,47449
62.0,1.0,1.0,9623,0.2207225931967743,67849
62.0,1.0,1.0,9623,0.21832020742947855,119639
62.0,1.0,1.0,9623,0.21332581694932223,170187
62.0,1.0,1.0,9623,0.20609713713681962,44326
62.0,1.0,1.0,9623,0.20429751651858738,12233
63.0,1.0,1.0,46785,0.17039415310552872,27885
63.0,1.0,1.0,46785,0.15628710209405036,17806
63.0,1.0,1.0,46785,0.14871214609837383,46836
63.0,1.0,1.0,46785,0.14510954376443103,56162
63.0,1.0,1.0,46785,0.14337302517934666,80990
64.0,1.0,1.0,400,0.21176861998818505,9835
64.0,1.0,1.0,400,0.16635749464830996,1551
64.0,1.0,1.0,400,0.15861902957284107,10154
64.0,1.0,1.0,400,0.14154737353589875,35038
64.0,1.0,1.0,400,0.13037535846080317,47504
65.0,1.0,1.0,880,0.1272751076720225,71662
65.0,1.0,1.0,880,0.11384507514152066,124042
65.0,1.0,1.0,880,0.10930223316022197,30285
65.0,1.0,1.0,880,0.10701421457181275,5896
65.0,1.0,1.0,880,0.09846801481251613,146599
66.0,1.0,1.0,146599,0.16539540328422114,136311
66.0,1.0,1.0,146599,0.15846091924267952,27994
66.0,1.0,1.0,146599,0.15689600234850534,24709
66.0,1.0,1.0,146599,0.1522205686699052,76825
66.0,1.0,1.0,146599,0.1449366899853056,46754
67.0,1.0,1.0,188588,0.17578467832600553,67463
67.0,1.0,1.0,188588,0.1643929766992927,155341
67.0,1.0,1.0,188588,0.1605064078703086,29270
67.0,1.0,1.0,188588,0.15588203227407263,215579
67.0,1.0,1.0,188588,0.155776784629716,76533
68.0,1.0,1.0,8447,0.15252495653539402,3178
68.0,1.0,1.0,8447,0.14727829615838803,19214
68.0,1.0,1.0,8447,0.1314401370236071,192
68.0,1.0,1.0,8447,0.12702193676417908,1394
68.0,1.0,1.0,8447,0.12009332817725095,24077
